date,channel,impressions,clicks,conversions,spend,revenue,cpc,ctr,conversion_rate
2025-07-20,Search,25795,1360,39,7587.95,15969.82,0.89,0.0294,0.0323
2025-07-21,Search,54131,3419,176,6858.0,3769.26,2.3,0.0763,0.03
2025-07-22,Search,93104,3885,46,1063.6,3018.9,1.81,0.044,0.0319
2025-07-23,Search,12747,1475,39,5104.63,20166.46,1.0,0.0509,0.0537
2025-07-24,Search,21394,4056,75,7122.77,12636.23,0.53,0.0765,0.0525
2025-07-25,Search,53001,3324,114,1879.05,17895.24,1.6,0.0273,0.0498
2025-07-26,Search,90077,3652,188,2640.12,19495.63,1.56,0.0325,0.0527
2025-07-27,Search,19692,661,226,9053.45,15952.75,2.8,0.0253,0.0378
2025-07-28,Search,11016,837,135,8458.64,10526.95,1.2,0.0526,0.0356
2025-07-29,Search,61214,4384,89,1140.73,12026.53,1.49,0.0376,0.0306
2025-07-30,Search,97538,891,187,8111.58,16134.1,2.82,0.0591,0.0666
2025-07-31,Search,18392,3604,72,4337.36,17548.93,2.16,0.0555,0.041
2025-08-01,Search,80592,3190,25,7495.57,7809.66,1.14,0.0224,0.0584
2025-08-02,Search,97897,1984,203,1282.86,16819.23,1.29,0.0505,0.0663
2025-08-03,Search,81910,2178,195,2827.55,23714.21,2.0,0.0617,0.0652
2025-08-04,Search,74044,2097,209,1949.45,12772.03,1.05,0.045,0.0653
2025-08-05,Search,28047,2029,116,4206.68,22903.64,1.18,0.0589,0.03
2025-08-06,Search,65016,1782,127,2481.9,14517.01,1.71,0.0615,0.0408
2025-08-07,Search,76199,2498,83,3908.83,14172.79,2.26,0.0418,0.0689
2025-08-08,Search,72003,1791,63,5475.24,9269.76,1.21,0.0222,0.0544
2025-08-09,Search,10854,3974,150,2304.05,13512.69,2.96,0.0345,0.0569
2025-08-10,Search,22688,1266,62,4310.05,16726.88,2.08,0.0521,0.0336
2025-08-11,Search,35184,3772,148,5573.79,18155.79,2.65,0.0396,0.0388
2025-08-12,Search,44754,646,172,6806.56,6423.24,2.23,0.0432,0.0675
2025-08-13,Search,47504,2302,244,7616.95,7204.11,1.85,0.0617,0.0391
2025-08-14,Search,26371,4143,137,3176.67,4594.81,2.74,0.074,0.0553
2025-08-15,Search,53016,3670,171,7533.6,22684.98,2.72,0.0668,0.0557
2025-08-16,Search,22874,2148,224,8068.07,17552.24,1.95,0.0423,0.0676
2025-08-17,Search,12200,3461,152,3748.27,13426.31,1.62,0.0797,0.037
2025-08-18,Search,48467,4993,45,2609.4,10745.55,2.36,0.0633,0.0423
2025-07-20,Social,80091,1454,139,6726.99,8135.39,1.97,0.0787,0.0495
2025-07-21,Social,15895,3854,51,8153.3,13809.33,1.94,0.0496,0.0378
2025-07-22,Social,50764,1315,171,6148.04,19792.47,0.61,0.0797,0.0488
2025-07-23,Social,92989,3944,30,4331.43,2847.77,2.82,0.0457,0.0687
2025-07-24,Social,76235,1639,215,3751.27,6795.5,1.17,0.0491,0.0449
2025-07-25,Social,42745,1069,91,6130.55,4686.47,2.04,0.0794,0.0356
2025-07-26,Social,92074,3037,154,3902.96,21595.07,0.84,0.0625,0.0521
2025-07-27,Social,15801,3306,50,8291.02,22009.13,2.78,0.0507,0.0501
2025-07-28,Social,80316,4615,89,1638.47,11427.64,0.63,0.0732,0.0311
2025-07-29,Social,42097,3274,215,1323.48,12975.96,1.86,0.0372,0.0536
2025-07-30,Social,66661,2215,194,8403.41,10604.29,0.82,0.0513,0.0608
2025-07-31,Social,13051,504,127,1768.13,3662.84,1.83,0.0524,0.0555
2025-08-01,Social,83523,4864,138,5646.7,9766.52,2.49,0.0362,0.0476
2025-08-02,Social,35945,1240,242,9663.84,21309.55,2.24,0.0445,0.0369
2025-08-03,Social,26896,3349,120,5943.04,18578.41,2.15,0.0368,0.0682
2025-08-04,Social,63222,1970,93,6505.49,11941.0,1.12,0.0414,0.0603
2025-08-05,Social,94664,3856,230,1826.19,4618.53,1.28,0.0788,0.037
2025-08-06,Social,53919,2765,242,5424.54,13153.11,0.93,0.046,0.0459
2025-08-07,Social,33049,3349,204,4371.51,16581.85,1.76,0.0714,0.0563
2025-08-08,Social,14611,3587,48,9495.02,23745.66,2.67,0.0582,0.062
2025-08-09,Social,69275,4246,148,2156.5,20752.09,2.55,0.0576,0.0628
2025-08-10,Social,79449,1566,68,3465.65,7328.26,1.44,0.0223,0.0547
2025-08-11,Social,37350,3396,114,3870.78,21509.69,0.56,0.0689,0.0413
2025-08-12,Social,13267,1325,138,6660.49,22243.12,2.34,0.0682,0.0413
2025-08-13,Social,54425,3004,176,8261.51,24786.37,1.53,0.0423,0.0611
2025-08-14,Social,69031,4632,36,4860.95,19394.6,2.39,0.0262,0.0661
2025-08-15,Social,24397,1095,136,4506.56,9196.79,0.75,0.0232,0.0683
2025-08-16,Social,34466,4671,33,3873.82,23876.39,2.88,0.0544,0.0553
2025-08-17,Social,96900,3640,123,6421.97,14958.32,1.03,0.0768,0.0613
2025-08-18,Social,11062,2656,205,5449.78,3795.07,1.87,0.0465,0.0655
2025-07-20,Display,99930,1453,169,1910.1,4392.4,2.25,0.0244,0.0629
2025-07-21,Display,29065,1717,29,5619.94,7747.63,1.95,0.0718,0.0652
2025-07-22,Display,67854,4812,69,7780.4,10965.84,0.71,0.0666,0.0523
2025-07-23,Display,35289,4102,63,4910.07,8207.85,1.51,0.0543,0.0596
2025-07-24,Display,67799,1394,129,7697.9,17823.39,1.09,0.044,0.0491
2025-07-25,Display,33960,1323,185,3012.36,24172.51,0.53,0.0782,0.0317
2025-07-26,Display,30559,3433,237,9936.68,4160.42,1.88,0.0782,0.0509
2025-07-27,Display,27640,3876,38,3650.45,24906.21,2.24,0.0431,0.0595
2025-07-28,Display,17114,1853,248,1520.78,11376.74,0.77,0.0401,0.0368
2025-07-29,Display,71529,4219,210,3064.55,8483.6,1.4,0.0356,0.0481
2025-07-30,Display,48088,3008,244,3438.62,5496.67,0.69,0.0764,0.0467
2025-07-31,Display,80340,2338,177,4764.19,23486.39,2.67,0.0227,0.0311
2025-08-01,Display,71813,3636,170,9885.49,5884.38,1.99,0.0429,0.0688
2025-08-02,Display,82474,4500,122,1331.4,5511.67,0.53,0.0245,0.0577
2025-08-03,Display,70100,2168,126,9218.49,15665.86,2.32,0.0654,0.0451
2025-08-04,Display,66397,2548,75,3472.59,7162.62,2.7,0.0654,0.0319
2025-08-05,Display,17239,2074,178,5483.49,13214.74,2.58,0.0385,0.0627
2025-08-06,Display,83963,888,246,8889.88,11578.36,0.84,0.0217,0.0602
2025-08-07,Display,49764,4481,90,8245.4,22820.9,2.04,0.0788,0.0543
2025-08-08,Display,83553,1858,115,1819.02,18843.93,1.87,0.0471,0.0664
2025-08-09,Display,80173,3677,75,7278.78,20420.61,1.65,0.0705,0.0608
2025-08-10,Display,65123,3531,93,9820.29,13583.91,1.32,0.058,0.0396
2025-08-11,Display,16254,1260,175,2152.41,5917.81,0.85,0.0585,0.0373
2025-08-12,Display,51240,3766,120,5265.65,17520.05,0.93,0.0315,0.0316
2025-08-13,Display,97044,4400,46,1798.32,5214.31,1.65,0.0324,0.0446
2025-08-14,Display,91818,2796,71,6651.1,4339.58,2.68,0.0753,0.0324
2025-08-15,Display,74291,2555,137,6375.5,24690.78,1.84,0.0754,0.0394
2025-08-16,Display,38699,2625,240,7484.64,3902.68,0.87,0.028,0.0575
2025-08-17,Display,92838,3297,131,5789.02,4911.37,1.62,0.052,0.0397
2025-08-18,Display,83688,2575,226,6075.69,21415.97,0.72,0.0521,0.0393
2025-07-20,Video,13596,3783,49,7111.92,20256.35,1.75,0.0252,0.0515
2025-07-21,Video,89905,4507,137,6080.13,11022.38,1.34,0.074,0.0543
2025-07-22,Video,85703,2862,133,3973.14,23508.07,0.52,0.0335,0.0446
2025-07-23,Video,82303,3063,118,2679.1,8914.64,0.93,0.0738,0.0332
2025-07-24,Video,34818,3090,64,7272.65,24938.25,2.74,0.0546,0.0667
2025-07-25,Video,97886,1145,142,3321.13,6344.97,2.17,0.0758,0.0523
2025-07-26,Video,89239,1641,92,4828.93,13921.23,1.11,0.0269,0.0544
2025-07-27,Video,52533,2328,150,2389.26,13325.65,1.83,0.0231,0.0435
2025-07-28,Video,75545,760,175,5940.3,7038.94,2.21,0.0253,0.0356
2025-07-29,Video,29216,3324,227,5258.5,16137.29,2.49,0.0264,0.064
2025-07-30,Video,22219,735,202,2118.68,18944.52,2.85,0.0309,0.0327
2025-07-31,Video,15415,3891,174,1432.85,20084.08,2.57,0.065,0.062
2025-08-01,Video,96740,3398,147,6703.83,22926.99,1.29,0.0553,0.0573
2025-08-02,Video,69207,1818,128,4392.5,12910.3,1.25,0.0649,0.0501
2025-08-03,Video,29096,2692,249,4523.34,14466.79,0.67,0.0337,0.0517
2025-08-04,Video,51157,3126,159,7574.94,18108.65,0.92,0.0727,0.0498
2025-08-05,Video,35053,1754,179,8097.37,5912.68,1.28,0.0349,0.0598
2025-08-06,Video,77779,3145,90,7862.13,22227.23,1.36,0.0693,0.0344
2025-08-07,Video,81907,3728,160,2349.26,7658.16,2.31,0.0632,0.0556
2025-08-08,Video,49666,2455,60,7445.61,15978.16,2.57,0.0775,0.0437
2025-08-09,Video,22999,1314,114,9525.55,5950.41,1.97,0.0504,0.0545
2025-08-10,Video,66942,2139,84,6336.67,4799.78,2.8,0.0674,0.0309
2025-08-11,Video,10126,3677,116,4369.92,4050.73,0.69,0.0263,0.0636
2025-08-12,Video,57882,2292,70,3123.15,6224.21,0.97,0.0702,0.0433
2025-08-13,Video,63173,3208,199,1492.85,10041.94,2.51,0.0203,0.0433
2025-08-14,Video,35150,1036,114,9278.7,10292.78,1.37,0.0643,0.0481
2025-08-15,Video,51914,1705,176,6198.69,6224.05,0.58,0.0387,0.0612
2025-08-16,Video,14757,3213,180,2914.13,14091.41,2.94,0.0475,0.0523
2025-08-17,Video,34917,2224,128,5519.76,15896.16,0.67,0.065,0.0384
2025-08-18,Video,68066,3889,56,5214.09,16561.96,1.44,0.0702,0.0535
2025-07-20,Email,43536,3557,218,5810.1,13324.48,1.74,0.0659,0.0341
2025-07-21,Email,62487,4650,127,7779.22,8626.79,2.74,0.0516,0.062
2025-07-22,Email,91974,2323,202,8802.94,11679.65,1.88,0.0352,0.0378
2025-07-23,Email,73230,827,78,4053.44,15312.48,2.72,0.0534,0.0588
2025-07-24,Email,83506,2643,112,7500.4,21753.17,2.58,0.0438,0.0567
2025-07-25,Email,96925,1322,200,1782.33,16747.92,2.34,0.0709,0.0349
2025-07-26,Email,51874,1808,212,7335.52,22989.04,2.06,0.0402,0.063
2025-07-27,Email,86918,4991,44,6617.34,11711.76,1.88,0.0462,0.0418
2025-07-28,Email,27771,3261,182,5386.88,22627.43,2.5,0.0455,0.0309
2025-07-29,Email,12573,3099,218,6701.3,8302.47,0.85,0.0701,0.0694
2025-07-30,Email,86908,3157,239,7148.65,21008.14,1.82,0.0689,0.0499
2025-07-31,Email,36657,2122,141,1098.96,5579.93,2.75,0.0724,0.0539
2025-08-01,Email,56828,954,162,9229.71,11922.34,1.46,0.0511,0.0319
2025-08-02,Email,48709,1886,217,1745.19,16070.92,1.11,0.0434,0.0415
2025-08-03,Email,99599,1636,211,3674.1,15244.1,1.69,0.0598,0.0675
2025-08-04,Email,99399,2285,60,5858.59,6145.31,2.6,0.0708,0.0682
2025-08-05,Email,48890,981,225,7938.21,4898.46,0.69,0.0637,0.0498
2025-08-06,Email,84666,2139,66,5137.13,4208.5,0.69,0.0201,0.0687
2025-08-07,Email,30581,2822,125,1824.24,23139.56,0.84,0.077,0.0478
2025-08-08,Email,67134,4607,86,9623.54,19563.83,2.1,0.0655,0.059
2025-08-09,Email,68053,4226,83,9889.01,23741.34,0.6,0.0623,0.067
2025-08-10,Email,22182,3657,159,1305.51,18191.96,1.24,0.0755,0.0688
2025-08-11,Email,16737,3794,246,1493.94,12740.73,1.81,0.0587,0.056
2025-08-12,Email,62375,3167,212,5329.56,22412.46,1.83,0.0465,0.0462
2025-08-13,Email,50998,4459,28,8116.51,9671.93,2.06,0.0732,0.0546
2025-08-14,Email,90765,4021,79,5157.49,24782.68,0.5,0.0311,0.0454
2025-08-15,Email,23919,4310,147,9981.41,10391.02,2.42,0.0441,0.0492
2025-08-16,Email,22984,771,208,3445.18,11461.47,0.73,0.0402,0.0509
2025-08-17,Email,20816,4260,27,5205.8,9182.56,2.63,0.0629,0.0536
2025-08-18,Email,67775,1204,205,9889.5,12124.9,1.46,0.0608,0.0387
2025-07-20,Direct,53001,2328,85,3330.84,15742.47,2.96,0.0731,0.054
2025-07-21,Direct,39757,2368,177,7690.18,3962.19,1.5,0.0703,0.0392
2025-07-22,Direct,74754,4064,134,3076.03,6471.88,1.05,0.0312,0.0612
2025-07-23,Direct,91412,2296,78,9721.92,22385.18,2.82,0.0797,0.037
2025-07-24,Direct,17657,2966,202,5420.68,24917.55,2.74,0.0478,0.0549
2025-07-25,Direct,43660,2530,113,6336.46,15551.94,0.73,0.0726,0.0406
2025-07-26,Direct,75160,1718,177,8669.74,3297.0,1.32,0.0759,0.0594
2025-07-27,Direct,91121,1483,148,4354.2,8344.46,2.31,0.0498,0.0332
2025-07-28,Direct,19903,3520,52,1685.18,21652.16,1.74,0.0488,0.0537
2025-07-29,Direct,29129,2091,64,7102.15,15228.97,1.17,0.0727,0.0619
2025-07-30,Direct,29623,2639,121,2416.07,6109.0,1.34,0.0343,0.0672
2025-07-31,Direct,96206,4238,190,2702.99,22336.84,2.9,0.0479,0.0652
2025-08-01,Direct,88249,3219,131,3057.63,22945.78,0.5,0.0534,0.0603
2025-08-02,Direct,43062,2485,248,1756.88,9844.76,1.9,0.027,0.0451
2025-08-03,Direct,47311,1507,94,3550.09,2914.62,1.58,0.0704,0.0457
2025-08-04,Direct,36660,777,220,2563.78,19844.22,2.87,0.03,0.0608
2025-08-05,Direct,73888,1385,217,1521.28,4180.62,2.63,0.0794,0.057
2025-08-06,Direct,31195,4247,204,7824.37,3053.21,0.56,0.0394,0.0495
2025-08-07,Direct,37082,4109,198,5216.85,23746.83,0.76,0.0713,0.0511
2025-08-08,Direct,85932,1598,140,8559.52,19888.51,1.08,0.0279,0.0647
2025-08-09,Direct,54413,4011,116,7581.43,22964.3,2.64,0.0779,0.0604
2025-08-10,Direct,42196,4463,190,3069.59,7294.86,0.58,0.0591,0.0447
2025-08-11,Direct,48158,2755,51,9713.74,6674.32,2.67,0.0666,0.0608
2025-08-12,Direct,95553,4944,216,3647.51,23016.31,2.92,0.0311,0.0485
2025-08-13,Direct,57837,2753,223,2126.67,17925.22,1.58,0.032,0.0497
2025-08-14,Direct,15109,616,154,8178.03,9483.14,1.64,0.0207,0.0329
2025-08-15,Direct,40015,4933,134,9772.3,18742.47,2.14,0.0654,0.0681
2025-08-16,Direct,62648,1278,238,7742.45,5783.25,0.76,0.0543,0.0307
2025-08-17,Direct,58787,3220,226,7982.24,23677.84,0.68,0.0521,0.0653
2025-08-18,Direct,93869,1417,127,2194.44,15269.67,2.22,0.068,0.038
